ObjName,Name,USE,BaseCounter,Desc,PrivilegeLevel,Properties,Type,Unit
fcp_lif,avg_latency,Saturation,total_ops,Average latency for FCP operations,admin,average,1000,microsec
fcp_lif,avg_read_latency,Saturation,read_ops,Average latency for read operations,admin,average,1000,microsec
fcp_lif,avg_write_latency,Saturation,write_ops,Average latency for write operations,admin,average,1000,microsec
fcp_lif,read_ops,Utilization,,Number of read operations,admin,rate,1000,per_sec
fcp_lif,total_ops,Utilization,,Total number of operations.,admin,rate,1000,per_sec
fcp_lif,write_ops,Utilization,,Number of write operations,admin,rate,1000,per_sec
iscsi_lif,avg_latency,Saturation,cmd_transfered,Average latency for iscsi operations,admin,average,100,microsec
iscsi_lif,avg_read_latency,Saturation,iscsi_read_ops,Average latency for read operations,admin,average,100,microsec
iscsi_lif,avg_write_latency,Saturation,iscsi_write_ops,Average latency for write operations,admin,average,100,microsec
iscsi_lif,data_digest_errors,Error,,Data digest errors from iSCSI sessions on this LIF,admin,raw,100,none
iscsi_lif,error_status_cdb,Error,,number of cdbs that contain error status from iSCSI sessions on this LIF,admin,raw,100,none
iscsi_lif,header_digest_errors,Error,,Header digest errors from iSCSI sessions on this LIF,admin,raw,100,none
iscsi_lif,iscsi_read_ops,Utilization,,iSCSI read operations per second on this LIF,admin,rate,100,per_sec
iscsi_lif,iscsi_write_ops,Utilization,,iSCSI write operations per second on this LIF,admin,rate,100,per_sec
iscsi_lif,login_authentication_errors,Error,,Login authentication errors from iSCSI sessions on this LIF,admin,raw,100,none
iscsi_lif,login_authorization_errors,Error,,Login authorization errors from iSCSI sessions on this LIF,admin,raw,100,none
iscsi_lif,login_negotiation_errors,Error,,Login negotiation errors from iSCSI sessions on this LIF,admin,raw,100,none
iscsi_lif,login_other_errors,Error,,Other login errors from iSCSI sessions on this LIF,admin,raw,100,none
iscsi_lif,protocol_errors,Error,,number of protocol errors from iSCSI sessions on this LIF,admin,raw,100,none
lif,recv_errors,Error,,Number of received Errors per second,admin,rate,111,per_sec
lif,sent_errors,Error,,Number of sent errors per second,admin,rate,111,per_sec
cifs,cifs_latency,Saturation,cifs_latency_base,Average latency for CIFS operations,admin,average,1,microsec
cifs,cifs_ops,Utilization,,Total number of CIFS operations,admin,rate,1,per_sec
cifs,cifs_read_ops,Utilization,,Total number of CIFS read operations,admin,rate,1,per_sec
cifs,cifs_write_ops,Utilization,,Total number of CIFS write operations,admin,rate,1,per_sec
logical_replication_destination,last_transfer_size,Error,,Amount of data transferred during last transfer in bytes,admin,raw,111,none
logical_replication_source,last_transfer_size,Error,,Amount of data transferred during last transfer in bytes,admin,raw,111,none
logical_replication_source,num_files,Error,,Total number of new or modified files transferred during current transfer,admin,raw,111,none
logical_replication_source,total_num_files,Error,,Total number of different types of files transferred since reboot,admin,raw,111,none
nfsv3,access_avg_latency,Saturation,access_total,Average latency of Access procedure requests. The counter keeps track of the average response time of Access requests.,admin,average,10,microsec
nfsv3,access_error,Error,,Number of erroneous Access procedure requests. The Access procedure determines the access rights that a user has with respect to a file system object.,admin,delta,10,none
nfsv3,access_total,Error,,Total number of Access procedure requests. It is the total number of access success and access error requests.,admin,delta,10,none
nfsv3,commit_avg_latency,Saturation,commit_total,Average latency of Commit procedure requests. The counter keeps track of the average response time of Commit requests.,admin,average,10,microsec
nfsv3,commit_error,Error,,Number of erroneous Commit procedure requests. The Commit procedure forces or flushes data to stable storage that was previously written with a Write procedure call with stable field set to UNSTABLE.,admin,delta,10,none
nfsv3,commit_total,Error,,Total number of Commit procedure requests. It is the total number of Commit success and Commit error requests.,admin,delta,10,none
nfsv3,create_avg_latency,Saturation,create_total,Average latency of Create procedure requests. The counter keeps track of the average response time of Create requests.,admin,average,10,microsec
nfsv3,create_error,Error,,Number of erroneous Create procedure requests. The Create procedure creates a regular file.,admin,delta,10,none
nfsv3,create_total,Error,,Total number Create of procedure requests. It is the total number of create success and create error requests.,admin,delta,10,none
nfsv3,fsinfo_avg_latency,Saturation,fsinfo_total,Average latency of FSInfo procedure requests. The counter keeps track of the average response time of FSInfo requests.,admin,average,10,microsec
nfsv3,fsinfo_error,Error,,Number of erroneous FsInfo procedure requests. The FsInfo procedure retrieves nonvolatile file system state information and provides general information about the NFS version 3 protocol server implementation,admin,delta,10,none
nfsv3,fsinfo_total,Error,,Total number FSInfo of procedure requests. It is the total number of FSInfo success and FSInfo error requests.,admin,delta,10,none
nfsv3,fsstat_avg_latency,Saturation,fsstat_total,Average latency of FSStat procedure requests. The counter keeps track of the average response time of FSStat requests.,admin,average,10,microsec
nfsv3,fsstat_error,Error,,Number of erroneous FsStat procedure requests. The FsStat procedure retrieves volatile file system state information.,admin,delta,10,none
nfsv3,fsstat_total,Error,,Total number FSStat of procedure requests. It is the total number of FSStat success and FSStat error requests.,admin,delta,10,none
nfsv3,getattr_avg_latency,Saturation,getattr_total,Average latency of GetAttr procedure requests. This counter keeps track of the average response time of GetAttr requests.,admin,average,10,microsec
nfsv3,getattr_error,Error,,Number of erroneous GetAttr procedure requests. The GetAttr procedure retrieves the attributes for a specified file system object.,admin,delta,10,none
nfsv3,getattr_total,Error,,Total number of Getattr procedure requests. It is the total number of getattr success and getattr error requests.,admin,delta,10,none
nfsv3,link_avg_latency,Saturation,link_total,Average latency of Link procedure requests. The counter keeps track of the average response time of Link requests.,admin,average,10,microsec
nfsv3,link_error,Error,,Number of erroneous Link procedure requests. The Link procedure creates a hard link. A hard link is a directory entry that associates a name with a file on a file system.,admin,delta,10,none
nfsv3,link_total,Error,,Total number Link of procedure requests. It is the total number of Link success and Link error requests.,admin,delta,10,none
nfsv3,lookup_avg_latency,Saturation,lookup_total,Average latency of LookUp procedure requests. This shows the average time it takes for the LookUp operation to reply to the request.,admin,average,10,microsec
nfsv3,lookup_error,Error,,Number of erroneous LookUp procedure requests. The LookUp procedure searches a directory for a specific name and returns the file handle for the corresponding file system object.,admin,delta,10,none
nfsv3,lookup_total,Error,,Total number of Lookup procedure requests. It is the total number of lookup success and lookup error requests.,admin,delta,10,none
